Filename,Max Value,Total Weight,Num Items,Execution Time (s)
ks_10000_0,1099893,999994,15,0.154
ks_1000_0,109899,99999,18,0.012
ks_100_1,1333930,3190760,5,0.004
ks_100_2,10892,9999,10,0.000
ks_19_0,12248,30996,5,0.001
ks_200_0,100236,99993,4,84.092
ks_200_1,1103604,2640108,5,0.016
ks_300_0,1688692,4040184,8,0.249
ks_30_0,99798,99846,9,0.019
ks_400_0,3967180,9486360,6,0.356
ks_40_0,99924,99837,8,10.617
ks_45_0,23974,58148,2,0.000
ks_4_0,19,11,2,0.001
ks_500_0,54939,50000,11,0.004
ks_50_0,142156,341012,3,0.000
ks_50_1,5345,4999,12,0.001
ks_60_0,99837,99924,8,27.280
